,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
371,WTSQ.SFA9CA,1997.03,994.17,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
372,WTSQ.SFA9CA,1997.06,987.83,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
373,WTSQ.SFA9CA,1997.09,1006.24,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
374,WTSQ.SFA9CA,1997.12,998.72,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
375,WTSQ.SFA9CA,1998.03,1023.32,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
376,WTSQ.SFA9CA,1998.06,1019.3,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
377,WTSQ.SFA9CA,1998.09,974.92,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
378,WTSQ.SFA9CA,1998.12,984.46,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
379,WTSQ.SFA9CA,1999.03,980.02,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
380,WTSQ.SFA9CA,1999.06,1027.05,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
381,WTSQ.SFA9CA,1999.09,1022.59,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
382,WTSQ.SFA9CA,1999.12,1014.03,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Unadjusted,
484,WTSQ.SFA9CS,1995.03,1097.36,,F,Dollars,6,Wholesale Trade Survey - WTS,Industry by variable - (ANZSIC06) - Subannual Financial Collection,Basic material wholesaling,Total stocks,Current prices,Seasonally adjusted,
